timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.164000,-165.441155,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.166000,-165.441165,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.168000,-165.441165,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.170000,-165.441155,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.172000,-165.441135,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.174000,-165.441145,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.176000,-165.441155,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.178000,-165.441145,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.180000,-165.441135,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.182000,-165.441125,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.184000,-165.441125,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.186000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.188000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.190000,-165.441115,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.192000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.194000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.196000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.198000,-165.441095,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.200000,-165.441105,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.202000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.204000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.206000,-165.441115,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.208000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.210000,-165.441095,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.212000,-165.441095,208.003989,0.0,0.0,2471.999998
